Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,6.260000,6.320000,6.160000,6.240000,6.240000,3412400
2020-01-31,6.210000,6.260000,6.060000,6.100000,6.100000,3795300
2020-02-03,6.130000,6.230000,6.090000,6.210000,6.210000,3790600
2020-02-04,6.330000,6.360000,6.140000,6.150000,6.150000,7154700
2020-02-05,6.190000,6.300000,6.170000,6.200000,6.200000,5955700
2020-02-06,6.220000,6.230000,6.130000,6.130000,6.130000,3650400
2020-02-07,6.100000,6.150000,6.020000,6.020000,6.020000,4757800
2020-02-10,6.010000,6.110000,5.960000,6.050000,6.050000,3873600
2020-02-11,6.100000,6.210000,6.060000,6.190000,6.190000,6155000
2020-02-12,6.250000,6.280000,6.070000,6.070000,6.070000,4635000
2020-02-13,6.040000,6.050000,5.950000,6.000000,6.000000,3319500
2020-02-14,5.990000,6.010000,5.790000,5.830000,5.830000,5094000
2020-02-18,5.860000,6.240000,5.840000,6.090000,6.090000,13146500
2020-02-19,6.170000,6.240000,6.090000,6.150000,6.150000,6265100
2020-02-20,6.150000,6.230000,6.060000,6.160000,6.160000,4414300
2020-02-21,6.160000,6.160000,5.970000,6.010000,6.010000,3269800
2020-02-24,5.720000,5.780000,5.650000,5.760000,5.760000,5541700
2020-02-25,5.840000,5.850000,5.430000,5.500000,5.500000,9081500
2020-02-26,5.490000,5.650000,5.470000,5.470000,5.470000,6545400
2020-02-27,5.220000,5.370000,5.070000,5.140000,5.140000,7885500
2020-02-28,4.970000,5.170000,4.950000,5.170000,5.170000,7499700
2020-03-02,5.170000,5.220000,4.960000,5.080000,5.080000,6395000
2020-03-03,5.080000,5.130000,4.870000,4.930000,4.930000,6645100
2020-03-04,5.040000,5.040000,4.740000,4.920000,4.920000,8415700
2020-03-05,4.780000,4.850000,4.630000,4.670000,4.670000,7690600
2020-03-06,4.530000,4.560000,4.330000,4.440000,4.440000,10202200
2020-03-09,3.950000,4.090000,3.770000,3.850000,3.850000,13139000
2020-03-10,4.170000,4.210000,3.960000,4.200000,4.200000,9966300
2020-03-11,4.100000,4.280000,4.020000,4.160000,4.160000,13679500
2020-03-12,3.890000,3.900000,3.640000,3.700000,3.700000,10503500
2020-03-13,3.930000,4.390000,3.630000,4.380000,4.380000,11567900
2020-03-16,3.650000,3.890000,3.380000,3.390000,3.390000,13485200
2020-03-17,3.500000,3.510000,2.840000,2.900000,2.900000,18660400
2020-03-18,2.730000,3.200000,2.700000,3.180000,3.180000,9992900
2020-03-19,3.080000,3.350000,3.000000,3.260000,3.260000,6861300
2020-03-20,3.330000,3.720000,3.320000,3.380000,3.380000,8340600
2020-03-23,3.350000,3.560000,3.250000,3.440000,3.440000,6762600
2020-03-24,3.660000,3.670000,3.460000,3.620000,3.620000,5548700
2020-03-25,3.710000,3.980000,3.520000,3.760000,3.760000,6433900
2020-03-26,3.810000,4.180000,3.790000,3.930000,3.930000,5852200
2020-03-27,3.750000,3.870000,3.680000,3.810000,3.810000,3833600
2020-03-30,3.770000,3.930000,3.680000,3.910000,3.910000,4092400
2020-03-31,3.990000,4.270000,3.980000,4.130000,4.130000,7443000
2020-04-01,3.400000,3.680000,3.300000,3.360000,3.360000,11581300
2020-04-02,3.310000,3.520000,3.190000,3.230000,3.230000,9663700
2020-04-03,3.220000,3.350000,3.180000,3.220000,3.220000,5268100
2020-04-06,3.300000,3.530000,3.250000,3.480000,3.480000,10518100
2020-04-07,3.670000,3.790000,3.590000,3.610000,3.610000,6674600
