Date, Open, High, Low, Close
10/15/20, 3453.72, 3489.08, 3440.89, 3483.34
10/14/20, 3515.47, 3527.94, 3480.55, 3488.67
10/13/20, 3534.01, 3534.01, 3500.86, 3511.93
10/12/20, 3500.02, 3549.85, 3499.61, 3534.22
10/09/20, 3459.67, 3482.34, 3458.07, 3477.13
10/08/20, 3434.28, 3447.28, 3428.15, 3446.83
10/07/20, 3384.56, 3426.26, 3384.56, 3419.45
10/06/20, 3408.74, 3431.56, 3354.54, 3360.95
10/05/20, 3367.27, 3409.57, 3367.27, 3408.63
10/02/20, 3338.94, 3369.10, 3323.69, 3348.44
10/01/20, 3385.87, 3397.18, 3361.39, 3380.80
09/30/20, 3341.21, 3393.56, 3340.47, 3363.00
09/29/20, 3350.92, 3357.92, 3327.54, 3335.47
09/28/20, 3333.90, 3360.74, 3332.91, 3351.60
09/25/20, 3236.66, 3306.88, 3228.44, 3298.46
09/24/20, 3226.14, 3278.70, 3209.45, 3246.59
09/23/20, 3320.11, 3323.35, 3232.57, 3236.92
09/22/20, 3295.75, 3320.31, 3270.95, 3315.57
09/21/20, 3285.57, 3285.57, 3229.10, 3281.06
09/18/20, 3357.38, 3362.27, 3292.40, 3319.47
09/17/20, 3346.86, 3375.17, 3328.82, 3357.01
09/16/20, 3411.23, 3428.92, 3384.45, 3385.49
09/15/20, 3407.73, 3419.48, 3389.25, 3401.20
09/14/20, 3363.56, 3402.93, 3363.56, 3383.54
09/11/20, 3352.70, 3368.95, 3310.47, 3340.97
09/10/20, 3412.56, 3425.55, 3329.25, 3339.19
09/09/20, 3369.82, 3424.77, 3366.84, 3398.96
09/08/20, 3371.88, 3379.97, 3329.27, 3331.84
09/04/20, 3453.60, 3479.15, 3349.63, 3426.96
09/03/20, 3564.74, 3564.85, 3427.41, 3455.06
09/02/20, 3543.76, 3588.11, 3535.23, 3580.84
09/01/20, 3507.44, 3528.03, 3494.60, 3526.65
