Date, Open, High, Low, Close
10/16/20, 28570.72, 28842.90, 28570.72, 28606.31
10/15/20, 28323.40, 28535.85, 28181.54, 28494.20
10/14/20, 28731.30, 28792.56, 28461.73, 28514.00
10/13/20, 28764.95, 28808.84, 28604.35, 28679.81
10/12/20, 28671.12, 28957.90, 28659.67, 28837.52
10/09/20, 28533.61, 28676.29, 28440.63, 28586.90
10/08/20, 28348.86, 28459.13, 28265.56, 28425.51
10/07/20, 27971.36, 28369.66, 27971.36, 28303.46
10/06/20, 28214.24, 28354.48, 27728.03, 27772.76
10/05/20, 27825.42, 28162.64, 27825.42, 28148.64
10/02/20, 27536.39, 27861.43, 27382.94, 27682.81
10/01/20, 27940.63, 28041.46, 27669.26, 27816.90
09/30/20, 27514.64, 28026.33, 27511.06, 27781.70
09/29/20, 27560.24, 27605.60, 27338.09, 27452.66
09/28/20, 27362.14, 27722.60, 27362.14, 27584.06
09/25/20, 26694.51, 27239.29, 26635.38, 27173.96
09/24/20, 26716.09, 27094.85, 26537.01, 26815.44
09/23/20, 27413.60, 27464.46, 26716.12, 26763.13
09/22/20, 27170.34, 27333.09, 26989.93, 27288.18
09/21/20, 27484.71, 27484.71, 26715.15, 27147.70
09/18/20, 27864.87, 27946.69, 27487.97, 27657.42
09/17/20, 27834.18, 28056.79, 27647.93, 27901.98
09/16/20, 28031.69, 28364.77, 28021.67, 28032.38
09/15/20, 28139.76, 28231.06, 27931.45, 27995.60
09/14/20, 27718.74, 28086.06, 27718.74, 27993.33
09/11/20, 27613.86, 27828.82, 27448.15, 27665.64
09/10/20, 28022.51, 28174.78, 27447.08, 27534.58
09/09/20, 27711.71, 28206.21, 27704.54, 27940.47
09/08/20, 27925.23, 27925.23, 27464.90, 27500.89
09/04/20, 28341.05, 28539.75, 27664.68, 28133.31
09/03/20, 29090.70, 29199.35, 28074.76, 28292.73
09/02/20, 28736.79, 29162.88, 28713.53, 29100.50
09/01/20, 28439.61, 28659.26, 28290.72, 28645.66
