Date,Frequency
2021-01-27,2284
2021-01-28,8689
2021-01-29,3424
2021-01-30,101
2021-01-31,561
2021-02-01,1308
2021-02-02,897
2021-02-03,587
2021-02-04,106
2021-02-05,333
2021-02-06,128
2021-02-07,84
2021-02-08,212
2021-02-09,200
2021-02-10,163
2021-02-11,144
2021-02-12,88
2021-02-13,29
2021-02-14,55
2021-02-15,41
2021-02-16,120
2021-02-17,136
2021-02-18,150
2021-02-19,90
2021-02-20,33
2021-02-21,34
2021-02-22,84
2021-02-23,92
2021-02-24,235
2021-02-25,325
2021-02-26,126
2021-02-27,39
2021-02-28,40
2021-03-01,89
